ticket_id,description,category
203,IPv6 routing table not updating after restart,Network Issue
204,Multicast stream not reaching subscriber hosts,Network Issue
205,Telnet session drops after authentication,Network Issue
206,Wireless SSID invisible on certain access points,Network Issue
207,Route flapping detected between datacenter nodes,Network Issue
208,ARP table poisoning observed on VLAN 20,Network Issue
209,SSL offload failing on load balancer,Network Issue
210,Mobile network gateway blocking push notifications,Network Issue
211,Edge device not authenticating with RADIUS,Network Issue
212,Traffic shaping misapplied to critical ports,Network Issue
213,LAN throughput below SLA during backups,Network Issue
214,VPN split-tunnel not applying correct routes,Network Issue
215,Network ACL denying traffic to monitoring server,Network Issue
216,ISP peering issue causing packet reordering,Network Issue
217,DHCP lease renewal fails for certain hosts,Network Issue
218,VoIP calls experiencing one-way audio,Network Issue
219,SNMP traps not being delivered to collector,Network Issue
220,Ongoing BGP session resets after peer update,Network Issue
221,Server chassis reporting degraded fan status,Hardware Fault
222,No POST display on external monitor,Hardware Fault
223,SMART shows increasing reallocated sectors,Hardware Fault
224,NVMe drive failing SMART health check,Hardware Fault
225,Rear I/O panel LEDs not illuminating,Hardware Fault
226,System reports ACPI errors in dmesg,Hardware Fault
227,Drive bay latch broken preventing drive insertion,Hardware Fault
228,Keyboard connection intermittent on docking station,Hardware Fault
229,Camera module not detected by OS,Hardware Fault
230,Thermal throttling occurs under light load,Hardware Fault
231,Power surge damaged PSU connectors,Hardware Fault
232,Optical drive unable to read discs,Hardware Fault
233,Microphone array returns zero input,Hardware Fault
234,Tablet digitizer unresponsive to touch,Hardware Fault
235,Headset mic not switching when plugged,Hardware Fault
236,Firmware corruption on RAID controller,Hardware Fault
237,Chassis intrusion sensor stuck open,Hardware Fault
238,SATA cable loose causing read errors,Hardware Fault
239,Accelerometer sensor giving wrong orientation,Hardware Fault
240,Embedded controller firmware needs update,Hardware Fault
241,Crash dialog shows null pointer exception,Software Bug
242,File handle leak causing process to hang,Software Bug
243,Dependency loader cannot find module X,Software Bug
244,Search index corruption after reindex,Software Bug
245,Batch job fails silently with exit code 1,Software Bug
246,Concurrent update race condition in DB,Software Bug
247,Locale parsing error for datestrings,Software Bug
248,Multi-threaded deadlock when saving records,Software Bug
249,Installer fails when optional feature enabled,Software Bug
250,Feature flag not toggling behavior correctly,Software Bug
251,Mobile app crashes on Android 12 devices,Software Bug
252,Incorrect currency formatting in reports,Software Bug
253,Webhook payload missing required fields,Software Bug
254,Service healthcheck returns 500 intermittently,Software Bug
255,Legacy API returns deprecated field names,Software Bug
256,Permission check bypassed under certain routes,Software Bug
257,Data export truncates rows unexpectedly,Software Bug
258,Notification retries exceed configured limit,Software Bug
259,Config reload causes worker to restart,Software Bug
260,Report generation times out on large datasets,Software Bug
261,Multiple failed login attempts from same IP,Security Breach
262,Compromised credentials used to access S3 bucket,Security Breach
263,New admin user created without audit entry,Security Breach
264,Unexpected service spawning reverse shell,Security Breach
265,Stolen SSH keys uploaded to public paste,Security Breach
266,Encrypted archive found with ransom note,Security Breach
267,Privilege escalation exploit detected in logs,Security Breach
268,Unauthorized data exfiltration to external host,Security Breach
269,Malicious cron job scheduled on web server,Security Breach
270,Firmware image replaced with backdoor build,Security Breach
271,Multiple systems show same IoC fingerprint,Security Breach
272,Domain admin account used outside business hours,Security Breach
273,Compromised container image pulled from registry,Security Breach
274,Credential stuffing detected against login endpoint,Security Breach
275,Unusual outbound traffic to low-reputation IPs,Security Breach
276,Two-factor codes being bypassed via SMS forward,Security Breach
277,Exploit attempted via outdated library dependency,Security Breach
278,Encrypted channel terminated unexpectedly mid-session,Security Breach
279,Unauthorized API keys discovered in repo,Security Breach
280,Attacker pivoting from DMZ to internal network,Security Breach
281,Init script referencing missing configuration file,System Configuration Error
282,Docker compose using wrong network name,System Configuration Error
283,Kernel command line missing required parameter,System Configuration Error
284,Systemd service file lacks Restart=on-failure,System Configuration Error
285,SSH authorized_keys file contains incorrect entries,System Configuration Error
286,Hosts file contains stale IP mappings,System Configuration Error
287,Load balancer health check pointed to wrong path,System Configuration Error
288,NFS export options preventing writes,System Configuration Error
289,User limits (ulimit) too low for application,System Configuration Error
290,Swap partition not configured causing OOM kills,System Configuration Error
291,SELinux context wrong for webroot files,System Configuration Error
292,Fail2ban jail configuration blocking legitimate users,System Configuration Error
293,Incorrect iptables NAT rule order,System Configuration Error
294,Backup cronjob running under wrong user,System Configuration Error
295,Certificate chain not loaded in keystore,System Configuration Error
296,Syslog forwarding misconfigured destination port,System Configuration Error
297,Exim main.cf misconfigured relayhost,System Configuration Error
298,LDAP referral settings causing bind failures,System Configuration Error
299,Temporary file cleanup script removes active files,System Configuration Error
300,Initramfs missing necessary drivers for boot,System Configuration Error

